,,cost_at_80,cost_at_80,aurc,aurc,cost_full,cost_full
,,mean,std,mean,std,mean,std
delta,policy,,,,,,
0.0,ERM,0.7266064305242598,0.03475202330842964,0.7299090729320336,0.03332120382716773,0.7185455885342455,0.03427245644646852
0.0,"Structural (UVIF, $\eta=1$)",0.4845755938153895,0.007315054737174222,0.48138570378885076,0.006362577131989353,0.4973340940718378,0.008777453610835128
0.0,Within-class ($\eta=0$),0.461201310155781,0.006778240077104316,0.4647766977598235,0.01006731544428983,0.4672143123209145,0.0029344818556894824
0.5,ERM,0.7006844265333217,0.04570758967552102,0.6965362139135918,0.045318207244339784,0.7017541252586138,0.023778137476302617
0.5,"Structural (UVIF, $\eta=1$)",0.46407064929427827,0.0167018267966716,0.46647782515987785,0.01952450944317328,0.49540456062025084,0.011495361781107874
0.5,Within-class ($\eta=0$),0.4454776757463114,0.018263183737297826,0.44808149527298463,0.021570507089320786,0.4669137184557371,0.008559187065812346
1.0,ERM,0.7035207473889854,0.028364249800606495,0.7101335790510636,0.03580953830145029,0.7468739787807336,0.031717894547328304
1.0,"Structural (UVIF, $\eta=1$)",0.48483210529266757,0.01181559636633912,0.48347510097601704,0.012620232928140835,0.520634079581976,0.006480921829534208
1.0,Within-class ($\eta=0$),0.4634765853956671,0.006739402736119472,0.46349775456636627,0.00441718555173979,0.5092977742886607,0.01299713335464678
1.5,ERM,0.7015397869408965,0.023514620731111668,0.7169473110031296,0.02154671215922893,0.9150800100560041,0.010293511410527941
1.5,"Structural (UVIF, $\eta=1$)",0.5080590032464282,0.014341051208226306,0.5033262745097016,0.018414400397878044,0.5535874440152623,0.019665757720164594
1.5,Within-class ($\eta=0$),0.47478456781091466,0.013847707186527948,0.47891627287553007,0.01522219416293198,0.628662834546112,0.030944116528323736
2.0,ERM,0.725050054072586,0.08026771524479276,0.7439924085001279,0.05175614974417158,1.1529774572935547,0.03785929563390175
2.0,"Structural (UVIF, $\eta=1$)",0.5452627058321508,0.016196342952187286,0.5392130571028272,0.014618783971465045,0.6113884010591958,0.012059616775904917
2.0,Within-class ($\eta=0$),0.5098262897755068,0.03195553868388542,0.5204454997302429,0.021413065630213068,0.8232839856676222,0.05669259613342212
2.5,ERM,0.859551402748458,0.02139052501494403,0.9158293311938959,0.004109665265166315,1.853717291249189,0.008201893062670862
2.5,"Structural (UVIF, $\eta=1$)",0.5669641172971653,0.020385285338594652,0.5824810991870355,0.014420900861322927,0.7091192193261896,0.006025048011364317
2.5,Within-class ($\eta=0$),0.5721113832938243,0.026375111831455817,0.6258309745410301,0.013739980504619057,1.3475223062753647,0.018903393661753764
3.0,ERM,1.242425826810959,0.04939235403804222,1.3607186366188415,0.05442672552074664,3.247445418186444,0.308181649813314
3.0,"Structural (UVIF, $\eta=1$)",0.6472941320210229,0.007001475197213121,0.6503807886450881,0.0025396183738294964,0.8925758236752447,0.025817443768857525
3.0,Within-class ($\eta=0$),0.7563932768026737,0.037996323097841796,0.8918135615283326,0.05104247875147895,2.4932804790104757,0.2920860658433539
